title,budget,revenue,popularity,vote_average,vote_count,genre_names,release_date,overview,poster_path
Inception,160000000,825532764,83.952,8.364,34495,,2010-07-15,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg
Interstellar,165000000,701729206,140.241,8.417,32571,,2014-11-05,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
The Dark Knight,185000000,1004558444,130.643,8.512,30619,,2008-07-16,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",/qJ2tW6WMUDux911r6m7haRef0WH.jpg
Avatar,237000000,2923706026,79.932,7.573,29815,,2009-12-15,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",/kyeqWdyUXW608qlYkRqosgbbJyK.jpg
The Avengers,220000000,1518815515,98.082,7.71,29166,,2012-04-25,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
Deadpool,58000000,783100000,72.735,7.606,28894,,2016-02-09,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg
Avengers: Infinity War,300000000,2052415039,154.34,8.255,27713,,2018-04-25,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
Fight Club,63000000,100853753,69.498,8.438,27238,,1999-10-15,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
Guardians of the Galaxy,170000000,772776600,33.255,7.906,26638,,2014-07-30,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg
Pulp Fiction,8500000,213900000,74.862,8.488,25893,,1994-09-10,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg
Forrest Gump,55000000,677387716,92.693,8.477,25409,,1994-06-23,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg
